Voltage 1,Voltage2,Voltage3,Voltage 4,Current,Audio 
3.6605,3.8605,4.8106,-4.8106,0.0276,0.687
3.6606,3.8606,4.8107,-4.8107,0.0277,0.688
3.6607,3.8607,4.8108,-4.8108,0.0278,0.689
3.6608,3.8608,4.8109,-4.8109,0.0279,0.69
3.6609,3.8609,4.811,-4.811,0.028,0.691
3.661,3.861,4.8111,-4.8111,0.0281,0.692
3.6611,3.8611,4.8112,-4.8112,0.0282,0.693
3.6612,3.8612,4.8113,-4.8113,0.0283,0.694
3.6613,3.8613,4.8114,-4.8114,0.0284,0.695
3.6614,3.8614,4.8115,-4.8115,0.0285,0.696
3.6615,3.8615,4.8116,-4.8116,0.0286,0.697
3.6616,3.8616,4.8117,-4.8117,0.0287,0.698
3.6617,3.8617,4.8118,-4.8118,0.0288,0.699
3.6618,3.8618,4.8119,-4.8119,0.0289,0.7
3.6619,3.8619,4.812,-4.812,0.029,0.701
3.662,3.862,4.8121,-4.8121,0.0291,0.702
3.6621,3.8621,4.8122,-4.8122,0.0292,0.703
3.6622,3.8622,4.8123,-4.8123,0.0293,0.704
3.6623,3.8623,4.8124,-4.8124,0.0294,0.705
3.6624,3.8624,4.8125,-4.8125,0.0295,0.706
3.6625,3.8625,4.8126,-4.8126,0.0296,0.707
3.6626,3.8626,4.8127,-4.8127,0.0297,0.708
3.6627,3.8627,4.8128,-4.8128,0.0298,0.709
3.6628,3.8628,4.8129,-4.8129,0.0299,0.71
3.6629,3.8629,4.813,-4.813,0.03,0.711
3.663,3.863,4.8131,-4.8131,0.0301,0.712
3.6631,3.8631,4.8132,-4.8132,0.0302,0.713
3.6632,3.8632,4.8133,-4.8133,0.0303,0.714
3.6633,3.8633,4.8134,-4.8134,0.0304,0.715
3.6634,3.8634,4.8135,-4.8135,0.0305,0.716
3.6635,3.8635,4.8136,-4.8136,0.0306,0.717
3.6636,3.8636,4.8137,-4.8137,0.0307,0.718
3.6637,3.8637,4.8138,-4.8138,0.0308,0.719
3.6638,3.8638,4.8139,-4.8139,0.0309,0.72
3.6639,3.8639,4.814,-4.814,0.031,0.721
3.664,3.864,4.8141,-4.8141,0.0311,0.722
3.6641,3.8641,4.8142,-4.8142,0.0312,0.723
3.6642,3.8642,4.8143,-4.8143,0.0313,0.724
3.6643,3.8643,4.8144,-4.8144,0.0314,0.725
3.6644,3.8644,4.8145,-4.8145,0.0315,0.726
3.6645,3.8645,4.8146,-4.8146,0.0316,0.727
3.6646,3.8646,4.8147,-4.8147,0.0317,0.728
3.6647,3.8647,4.8148,-4.8148,0.0318,0.729
3.6648,3.8648,4.8149,-4.8149,0.0319,0.73
3.6649,3.8649,4.815,-4.815,0.032,0.731
3.665,3.865,4.8151,-4.8151,0.0321,0.732
3.6651,3.8651,4.8152,-4.8152,0.0322,0.733
3.6652,3.8652,4.8153,-4.8153,0.0323,0.734
3.6653,3.8653,4.8154,-4.8154,0.0324,0.735
3.6654,3.8654,4.8155,-4.8155,0.0325,0.736
3.6655,3.8655,4.8156,-4.8156,0.0326,0.737
3.6656,3.8656,4.8157,-4.8157,0.0327,0.738
3.6657,3.8657,4.8158,-4.8158,0.0328,0.739
3.6658,3.8658,4.8159,-4.8159,0.0329,0.74
3.6659,3.8659,4.816,-4.816,0.033,0.741
3.666,3.866,4.8161,-4.8161,0.0331,0.742
3.6661,3.8661,4.8162,-4.8162,0.0332,0.743
3.6662,3.8662,4.8163,-4.8163,0.0333,0.744
3.6663,3.8663,4.8164,-4.8164,0.0334,0.745
3.6664,3.8664,4.8165,-4.8165,0.0335,0.746
3.6665,3.8665,4.8166,-4.8166,0.0336,0.747
3.6666,3.8666,4.8167,-4.8167,0.0337,0.748
3.6667,3.8667,4.8168,-4.8168,0.0338,0.749
3.6668,3.8668,4.8169,-4.8169,0.0339,0.75
3.6669,3.8669,4.817,-4.817,0.034,0.751
3.667,3.867,4.8171,-4.8171,0.0341,0.752
3.6671,3.8671,4.8172,-4.8172,0.0342,0.753
3.6672,3.8672,4.8173,-4.8173,0.0343,0.754
3.6673,3.8673,4.8174,-4.8174,0.0344,0.755
3.6674,3.8674,4.8175,-4.8175,0.0345,0.756
3.6675,3.8675,4.8176,-4.8176,0.0346,0.757
3.6676,3.8676,4.8177,-4.8177,0.0347,0.758
3.6677,3.8677,4.8178,-4.8178,0.0348,0.759
3.6678,3.8678,4.8179,-4.8179,0.0349,0.76
3.6679,3.8679,4.818,-4.818,0.035,0.761
3.668,3.868,4.8181,-4.8181,0.0351,0.762
3.6681,3.8681,4.8182,-4.8182,0.0352,0.763
3.6682,3.8682,4.8183,-4.8183,,0.764
3.6683,3.8683,4.8184,-4.8184,,0.765
3.6684,3.8684,4.8185,-4.8185,,0.766
3.6685,3.8685,4.8186,-4.8186,,0.767
3.6686,3.8686,4.8187,-4.8187,,0.768
3.6687,3.8687,4.8188,-4.8188,,0.769
3.6688,3.8688,4.8189,-4.8189,,0.77
3.6689,3.8689,4.819,-4.819,,0.771
3.669,3.869,4.8191,-4.8191,,0.772
3.6691,3.8691,4.8192,-4.8192,,0.773
3.6692,3.8692,4.8193,-4.8193,,0.774
3.6693,3.8693,4.8194,-4.8194,,0.775
3.6694,3.8694,4.8195,-4.8195,,0.776
3.6695,3.8695,4.8196,-4.8196,,0.777
3.6696,3.8696,4.8197,-4.8197,,0.778
3.6697,3.8697,4.8198,-4.8198,,0.779
3.6698,3.8698,4.8199,-4.8199,,0.78
3.6699,3.8699,4.82,-4.82,,0.781
3.67,3.87,4.8201,-4.8201,,0.782
3.6701,3.8701,4.8202,-4.8202,,0.783
3.6702,3.8702,4.8203,-4.8203,,0.784
3.6703,3.8703,4.8204,-4.8204,,0.785
3.6704,3.8704,4.8205,-4.8205,,0.786
3.6705,3.8705,4.8206,-4.8206,,0.787
3.6706,3.8706,4.8207,-4.8207,,0.788
3.6707,3.8707,4.8208,-4.8208,,0.789
3.6708,3.8708,4.8209,-4.8209,,0.79
3.6709,3.8709,4.821,-4.821,,0.791
3.671,3.871,4.8211,-4.8211,,0.792
3.6711,3.8711,4.8212,-4.8212,,0.793
3.6712,3.8712,4.8213,-4.8213,,0.794
3.6713,3.8713,4.8214,-4.8214,,0.795
3.6714,3.8714,4.8215,-4.8215,,0.796
3.6715,3.8715,4.8216,-4.8216,,0.797
3.6716,3.8716,4.8217,-4.8217,,0.798
3.6717,3.8717,4.8218,-4.8218,,0.799
3.6718,3.8718,4.8219,-4.8219,,0.8
3.6719,3.8719,4.822,-4.822,,0.801
3.672,3.872,4.8221,-4.8221,,0.802
3.6721,3.8721,4.8222,-4.8222,,0.803
3.6722,3.8722,4.8223,-4.8223,,0.804
3.6723,3.8723,4.8224,-4.8224,,0.805
3.6724,3.8724,4.8225,-4.8225,,0.806
3.6725,3.8725,4.8226,-4.8226,,0.807
3.6726,3.8726,4.8227,-4.8227,,0.808
3.6727,3.8727,4.8228,-4.8228,,0.809
3.6728,3.8728,4.8229,-4.8229,,0.81
3.6729,3.8729,4.823,-4.823,,0.811
3.673,3.873,4.8231,-4.8231,,0.812
3.6731,3.8731,4.8232,-4.8232,,0.813
3.6732,3.8732,4.8233,-4.8233,,0.814
3.6733,3.8733,4.8234,-4.8234,,0.815
3.6734,3.8734,4.8235,-4.8235,,0.816
3.6735,3.8735,4.8236,-4.8236,,0.817
3.6736,3.8736,4.8237,-4.8237,,0.818
3.6737,3.8737,4.8238,-4.8238,,0.819
3.6738,3.8738,4.8239,-4.8239,,0.82
3.6739,3.8739,4.824,-4.824,,0.821
3.674,3.874,4.8241,-4.8241,,0.822
3.6741,3.8741,4.8242,-4.8242,,0.823
3.6742,3.8742,4.8243,-4.8243,,0.824
3.6743,3.8743,4.8244,-4.8244,,0.825
3.6744,3.8744,4.8245,-4.8245,,0.826
3.6745,3.8745,4.8246,-4.8246,,0.827
3.6746,3.8746,4.8247,-4.8247,,0.828
3.6747,3.8747,4.8248,-4.8248,,0.829
3.6748,3.8748,4.8249,-4.8249,,0.83
3.6749,3.8749,4.825,-4.825,,0.831
3.675,3.875,4.8251,-4.8251,,0.832
3.6751,3.8751,4.8252,-4.8252,,0.833
3.6752,3.8752,4.8253,-4.8253,,0.834
3.6753,3.8753,4.8254,-4.8254,,0.835
3.6754,3.8754,4.8255,-4.8255,,0.836
3.6755,3.8755,4.8256,-4.8256,,0.837
3.6756,3.8756,4.8257,-4.8257,,0.838
3.6757,3.8757,4.8258,-4.8258,,0.839
3.6758,3.8758,4.8259,-4.8259,,0.84
3.6759,3.8759,4.826,-4.826,,0.841
3.676,3.876,4.8261,-4.8261,,0.842
3.6761,3.8761,4.8262,-4.8262,,0.843
3.6762,3.8762,4.8263,-4.8263,,0.844
3.6763,3.8763,4.8264,-4.8264,,0.845
3.6764,3.8764,4.8265,-4.8265,,0.846
3.6765,3.8765,4.8266,-4.8266,,0.847
3.6766,3.8766,4.8267,-4.8267,,0.848
3.6767,3.8767,4.8268,-4.8268,,0.849
3.6768,3.8768,4.8269,-4.8269,,0.85
3.6769,3.8769,4.827,-4.827,,0.851
3.677,3.877,4.8271,-4.8271,,0.852
3.6771,3.8771,4.8272,-4.8272,,0.853
3.6772,3.8772,4.8273,-4.8273,,0.854
3.6773,3.8773,4.8274,-4.8274,,0.855
3.6774,3.8774,4.8275,-4.8275,,0.856
3.6775,3.8775,4.8276,-4.8276,,0.857
3.6776,3.8776,4.8277,-4.8277,,0.858
3.6777,3.8777,4.8278,-4.8278,,0.859
3.6778,3.8778,4.8279,-4.8279,,0.86
3.6779,3.8779,4.828,-4.828,,0.861
3.678,3.878,4.8281,-4.8281,,0.862
3.6781,3.8781,4.8282,-4.8282,,0.863
3.6782,3.8782,4.8283,-4.8283,,0.864
3.6783,3.8783,4.8284,-4.8284,,0.865
3.6784,3.8784,4.8285,-4.8285,,0.866
3.6785,3.8785,4.8286,-4.8286,,0.867
3.6786,3.8786,4.8287,-4.8287,,0.868
3.6787,3.8787,4.8288,-4.8288,,0.869
3.6788,3.8788,4.8289,-4.8289,,0.87
3.6789,3.8789,4.829,-4.829,,0.871
3.679,3.879,4.8291,-4.8291,,0.872
3.6791,3.8791,4.8292,-4.8292,,0.873
3.6792,3.8792,4.8293,-4.8293,,0.874
3.6793,3.8793,4.8294,-4.8294,,0.875
3.6794,3.8794,4.8295,-4.8295,,0.876
3.6795,3.8795,4.8296,-4.8296,,0.877
3.6796,3.8796,4.8297,-4.8297,,0.878
3.6797,3.8797,4.8298,-4.8298,,0.879
3.6798,3.8798,4.8299,-4.8299,,0.88
3.6799,3.8799,4.83,-4.83,,0.881
3.68,3.88,4.8301,-4.8301,,0.882
3.6801,3.8801,4.8302,-4.8302,,0.883
3.6802,3.8802,4.8303,-4.8303,,0.884
3.6803,3.8803,4.8304,-4.8304,,0.885
3.6804,3.8804,4.8305,-4.8305,,0.886
3.6805,3.8805,4.8306,-4.8306,,0.887
3.6806,3.8806,4.8307,-4.8307,,0.888
3.6807,3.8807,4.8308,-4.8308,,0.889
3.6808,3.8808,4.8309,-4.8309,,0.89
3.6809,3.8809,4.831,-4.831,,0.891
3.681,3.881,4.8311,-4.8311,,0.892
3.6811,3.8811,4.8312,-4.8312,,0.893
3.6812,3.8812,4.8313,-4.8313,,0.894
3.6813,3.8813,4.8314,-4.8314,,0.895
3.6814,3.8814,4.8315,-4.8315,,0.896
3.6815,3.8815,4.8316,-4.8316,,0.897
3.6816,3.8816,4.8317,-4.8317,,0.898
3.6817,3.8817,4.8318,-4.8318,,0.899
3.6818,3.8818,4.8319,-4.8319,,0.9
3.6819,3.8819,4.832,-4.832,,0.901
3.682,3.882,4.8321,-4.8321,,0.902
3.6821,3.8821,4.8322,-4.8322,,0.903
3.6822,3.8822,4.8323,-4.8323,,0.904
3.6823,3.8823,4.8324,-4.8324,,0.905
3.6824,3.8824,4.8325,-4.8325,,0.906
3.6825,3.8825,4.8326,-4.8326,,0.907
3.6826,3.8826,4.8327,-4.8327,,0.908
3.6827,3.8827,4.8328,-4.8328,,0.909
3.6828,3.8828,4.8329,-4.8329,,0.91
3.6829,3.8829,4.833,-4.833,,0.911
3.683,3.883,4.8331,-4.8331,,0.912
3.6831,3.8831,4.8332,-4.8332,,0.913
3.6832,3.8832,4.8333,-4.8333,,0.914
3.6833,3.8833,4.8334,-4.8334,,0.915
3.6834,3.8834,4.8335,-4.8335,,0.916
3.6835,3.8835,4.8336,-4.8336,,0.917
3.6836,3.8836,4.8337,-4.8337,,0.918
3.6837,3.8837,4.8338,-4.8338,,0.919
3.6838,3.8838,4.8339,-4.8339,,0.92
3.6839,3.8839,4.834,-4.834,,0.921
3.684,3.884,4.8341,-4.8341,,0.922
3.6841,3.8841,4.8342,-4.8342,,0.923
3.6842,3.8842,4.8343,-4.8343,,0.924
3.6843,3.8843,4.8344,-4.8344,,0.925
3.6844,3.8844,4.8345,-4.8345,,0.926
3.6845,3.8845,4.8346,-4.8346,,0.927
3.6846,3.8846,4.8347,-4.8347,,0.928
3.6847,3.8847,4.8348,-4.8348,,0.929
3.6848,3.8848,4.8349,-4.8349,,0.93
3.6849,3.8849,4.835,-4.835,,0.931
3.685,3.885,4.8351,-4.8351,,0.932
3.6851,3.8851,4.8352,-4.8352,,0.933
3.6852,3.8852,4.8353,-4.8353,,0.934
3.6853,3.8853,4.8354,-4.8354,,0.935
3.6854,3.8854,4.8355,-4.8355,,0.936
3.6855,3.8855,4.8356,-4.8356,,0.937
3.6856,3.8856,4.8357,-4.8357,,0.938
3.6857,3.8857,4.8358,-4.8358,,0.939
3.6858,3.8858,4.8359,-4.8359,,0.94
3.6859,3.8859,4.836,-4.836,,0.941
3.686,3.886,4.8361,-4.8361,,0.942
3.6861,3.8861,4.8362,-4.8362,,0.943
3.6862,3.8862,4.8363,-4.8363,,0.944
3.6863,3.8863,4.8364,-4.8364,,0.945
3.6864,3.8864,4.8365,-4.8365,,0.946
3.6865,3.8865,4.8366,-4.8366,,0.947
3.6866,3.8866,4.8367,-4.8367,,0.948
3.6867,3.8867,4.8368,-4.8368,,0.949
3.6868,3.8868,4.8369,-4.8369,,0.95
3.6869,3.8869,4.837,-4.837,,0.951
3.687,3.887,4.8371,-4.8371,,0.952
3.6871,3.8871,4.8372,-4.8372,,0.953
3.6872,3.8872,4.8373,-4.8373,,0.954
3.6873,3.8873,4.8374,-4.8374,,0.955
3.6874,3.8874,4.8375,-4.8375,,0.956
3.6875,3.8875,4.8376,-4.8376,,0.957
3.6876,3.8876,4.8377,-4.8377,,0.958
3.6877,3.8877,4.8378,-4.8378,,0.959
3.6878,3.8878,4.8379,-4.8379,,0.96
3.6879,3.8879,4.838,-4.838,,0.961
3.688,3.888,4.8381,-4.8381,,0.962
3.6881,3.8881,4.8382,-4.8382,,0.963
3.6882,3.8882,4.8383,-4.8383,,0.964
3.6883,3.8883,4.8384,-4.8384,,0.965
3.6884,3.8884,4.8385,-4.8385,,0.966
3.6885,3.8885,4.8386,-4.8386,,0.967
3.6886,3.8886,4.8387,-4.8387,,0.968
3.6887,3.8887,4.8388,-4.8388,,0.969
3.6888,3.8888,4.8389,-4.8389,,0.97
3.6889,3.8889,4.839,-4.839,,0.971
3.689,3.889,4.8391,-4.8391,,0.972
3.6891,3.8891,4.8392,-4.8392,,0.973
3.6892,3.8892,4.8393,-4.8393,,0.974
3.6893,3.8893,4.8394,-4.8394,,0.975
3.6894,3.8894,4.8395,-4.8395,,0.976
3.6895,3.8895,4.8396,-4.8396,,0.977
3.6896,3.8896,4.8397,-4.8397,,0.978
3.6897,3.8897,4.8398,-4.8398,,0.979
3.6898,3.8898,4.8399,-4.8399,,0.98
3.6899,3.8899,4.84,-4.84,,0.981
3.69,3.89,4.8401,-4.8401,,0.982
3.6901,3.8901,4.8402,-4.8402,,0.983
3.6902,3.8902,4.8403,-4.8403,,0.984
3.6903,3.8903,4.8404,-4.8404,,0.985
3.6904,3.8904,4.8405,-4.8405,,0.986
3.6905,3.8905,4.8406,-4.8406,,0.987
3.6906,3.8906,4.8407,-4.8407,,0.988
3.6907,3.8907,4.8408,-4.8408,,0.989
3.6908,3.8908,4.8409,-4.8409,,0.99
3.6909,3.8909,4.841,-4.841,,0.991
3.691,3.891,4.8411,-4.8411,,0.992
3.6911,3.8911,4.8412,-4.8412,,0.993
3.6912,3.8912,4.8413,-4.8413,,0.994
3.6913,3.8913,4.8414,-4.8414,,0.995
3.6914,3.8914,4.8415,-4.8415,,0.996
3.6915,3.8915,4.8416,-4.8416,,0.997
3.6916,3.8916,4.8417,-4.8417,,0.998
3.6917,3.8917,4.8418,-4.8418,,0.999
3.6918,3.8918,4.8419,-4.8419,,1
3.6919,3.8919,4.842,-4.842,,1.001
3.692,3.892,4.8421,-4.8421,,1.002
3.6921,3.8921,4.8422,-4.8422,,1.003
3.6922,3.8922,4.8423,-4.8423,,1.004
3.6923,3.8923,4.8424,-4.8424,,1.005
3.6924,3.8924,4.8425,-4.8425,,1.006
3.6925,3.8925,4.8426,-4.8426,,1.007
3.6926,3.8926,4.8427,-4.8427,,1.008
3.6927,3.8927,4.8428,-4.8428,,1.009
3.6928,3.8928,4.8429,-4.8429,,1.01
3.6929,3.8929,4.843,-4.843,,1.011
3.693,3.893,4.8431,-4.8431,,1.012
3.6931,3.8931,4.8432,-4.8432,,1.013
3.6932,3.8932,4.8433,-4.8433,,1.014
3.6933,3.8933,4.8434,-4.8434,,1.015
3.6934,3.8934,4.8435,-4.8435,,1.016
3.6935,3.8935,4.8436,-4.8436,,1.017
3.6936,3.8936,4.8437,-4.8437,,1.018
3.6937,3.8937,4.8438,-4.8438,,1.019
3.6938,3.8938,4.8439,-4.8439,,1.02
3.6939,3.8939,4.844,-4.844,,1.021
3.694,3.894,4.8441,-4.8441,,1.022
3.6941,3.8941,4.8442,-4.8442,,1.023
3.6942,3.8942,4.8443,-4.8443,,1.024
3.6943,3.8943,4.8444,-4.8444,,1.025
3.6944,3.8944,4.8445,-4.8445,,1.026
3.6945,3.8945,4.8446,-4.8446,,1.027
3.6946,3.8946,4.8447,-4.8447,,1.028
3.6947,3.8947,4.8448,-4.8448,,1.029
3.6948,3.8948,4.8449,-4.8449,,1.03
3.6949,3.8949,4.845,-4.845,,1.031
3.695,3.895,4.8451,-4.8451,,1.032
3.6951,3.8951,4.8452,-4.8452,,1.033
3.6952,3.8952,4.8453,-4.8453,,1.034
3.6953,3.8953,4.8454,-4.8454,,1.035
3.6954,3.8954,4.8455,-4.8455,,1.036
3.6955,3.8955,4.8456,-4.8456,,1.037
3.6956,3.8956,4.8457,-4.8457,,1.038
3.6957,3.8957,4.8458,-4.8458,,1.039
3.6958,3.8958,4.8459,-4.8459,,1.04
3.6959,3.8959,4.846,-4.846,,1.041
3.696,3.896,4.8461,-4.8461,,1.042
3.6961,3.8961,4.8462,-4.8462,,1.043
3.6962,3.8962,4.8463,-4.8463,,1.044
3.6963,3.8963,4.8464,-4.8464,,1.045
3.6964,3.8964,4.8465,-4.8465,,1.046
3.6965,3.8965,4.8466,-4.8466,,1.047
3.6966,3.8966,4.8467,-4.8467,,1.048
3.6967,3.8967,4.8468,-4.8468,,1.049
3.6968,3.8968,4.8469,-4.8469,,1.05
3.6969,3.8969,4.847,-4.847,,1.051
3.697,3.897,4.8471,-4.8471,,1.052
3.6971,3.8971,4.8472,-4.8472,,1.053
3.6972,3.8972,4.8473,-4.8473,,1.054
3.6973,3.8973,4.8474,-4.8474,,1.055
3.6974,3.8974,4.8475,-4.8475,,1.056
3.6975,3.8975,4.8476,-4.8476,,1.057
3.6976,3.8976,4.8477,-4.8477,,1.058
3.6977,3.8977,4.8478,-4.8478,,1.059
3.6978,3.8978,4.8479,-4.8479,,1.06
3.6979,3.8979,4.848,-4.848,,1.061
3.698,3.898,4.8481,-4.8481,,1.062
3.6981,3.8981,4.8482,-4.8482,,1.063
3.6982,3.8982,4.8483,-4.8483,,1.064
3.6983,3.8983,4.8484,-4.8484,,1.065
3.6984,3.8984,4.8485,-4.8485,,1.066
3.6985,3.8985,4.8486,-4.8486,,1.067
3.6986,3.8986,4.8487,-4.8487,,1.068
3.6987,3.8987,4.8488,-4.8488,,1.069
3.6988,3.8988,4.8489,-4.8489,,1.07
3.6989,3.8989,4.849,-4.849,,1.071
3.699,3.899,4.8491,-4.8491,,1.072
3.6991,3.8991,4.8492,-4.8492,,1.073
3.6992,3.8992,4.8493,-4.8493,,1.074
3.6993,3.8993,4.8494,-4.8494,,1.075
3.6994,3.8994,4.8495,-4.8495,,1.076
3.6995,3.8995,4.8496,-4.8496,,1.077
3.6996,3.8996,4.8497,-4.8497,,1.078
3.6997,3.8997,4.8498,-4.8498,,1.079
3.6998,3.8998,4.8499,-4.8499,,1.08
3.6999,3.8999,4.85,-4.85,,1.081
3.7,3.9,4.8501,-4.8501,,1.082
3.7001,3.9001,4.8502,-4.8502,,1.083
3.7002,3.9002,4.8503,-4.8503,,1.084
3.7003,3.9003,4.8504,-4.8504,,1.085
3.7004,3.9004,4.8505,-4.8505,,1.086
3.7005,3.9005,4.8506,-4.8506,,1.087
3.7006,3.9006,4.8507,-4.8507,,1.088
3.7007,3.9007,4.8508,-4.8508,,1.089
3.7008,3.9008,4.8509,-4.8509,,1.09
3.7009,3.9009,4.851,-4.851,,1.091
3.701,3.901,4.8511,-4.8511,,1.092
3.7011,3.9011,4.8512,-4.8512,,1.093
3.7012,3.9012,4.8513,-4.8513,,1.094
3.7013,3.9013,4.8514,-4.8514,,1.095
3.7014,3.9014,4.8515,-4.8515,,1.096
3.7015,3.9015,4.8516,-4.8516,,1.097
